Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Thriller, Drama, Mystery",en,2021-08-06,6.1,"While;provocation,;holds;without",John and the Hole
"Drama, Romance",en,2008-09-26,7.4,go;faith;man's;embrace,Fireproof
"Action, Adventure, Comedy, Family",en,2009-01-15,5.4,"team;raids;moustache,;patrols",Paul Blart: Mall Cop
"Action, Adventure, Comedy, Family, Science Fiction",en,2003-07-25,5.1,It's;Toymaker.;Juni;world.,Spy Kids 3-D: Game Over
"Animation, Drama, Adventure, Family",en,2021-01-01,7.3,"rubbish;humans;Firebottom,;municipal",The Ogglies: Welcome to Smelliville
Documentary,es,2021-11-25,6.0,"midst;tears,;sends;last","Diego, The Last Goodbye"
"Animation, Family",en,2003-09-27,7.0,"baker,;Fairy;wizard;Odette,",Barbie of Swan Lake
"Animation, Family, Adventure, Comedy, Fantasy",en,2014-11-01,7.2,compete;Racing;turns;Dragon,Dragons: Dawn Of The Dragon Racers
"Drama, Action",zh,2006-01-26,7.5,"turn;also;Jia;footsteps,",Fearless
"Action, Adventure",en,2022-03-07,6.0,"father,;rural;travels;Gascony",The Fourth Musketeer
"Action, Comedy",cn,2001-07-05,7.0,advantage.;using;skills;reunites,Shaolin Soccer
"Action, Adventure",cn,2012-12-20,6.2,French;animals;British;stops,Chinese Zodiac
"Horror, Thriller",en,2018-10-18,6.5,haunted;escaped;Jamie;narrowly,Halloween
"War, History, Drama",nl,2021-06-05,7.2,army.;freedom;fighting;resistance,The Forgotten Battle
"Drama, Animation, Family",en,1996-06-21,7.1,"pals,;gargoyle;Claude;city",The Hunchback of Notre Dame
Drama,en,2004-01-01,7.2,professor.;college;ambitious;corrupt,Scandalous Sex
"Action, Comedy",en,2011-11-02,6.0,gets;Wall;luxury;enlists,Tower Heist
"Adventure, Fantasy, Animation",ja,1997-07-12,8.4,"bring;destroy;forest,;journey",Princess Mononoke
"Horror, Thriller",en,2019-04-04,5.7,"Boston;children.;home,;cemetery",Pet Sematary
"Drama, Horror, Thriller",es,2020-07-24,6.5,plea;seek;renowned;Daniel,Don't Listen
"Comedy, Fantasy",en,1991-11-22,7.0,"lost,;celebration;fraud;dead.",The Addams Family
Comedy,fr,2021-06-02,5.1,Things;apartment;broke;mid-life,Kids Are Back
"Adventure, Animation, Family",en,2014-12-12,7.1,"Fawn,;determined;sparks;risk",Tinker Bell and the Legend of the NeverBeast
"Comedy, Horror",en,1986-08-22,5.6,rest;set;sights;deep,The Texas Chainsaw Massacre 2
"Horror, Fantasy, Mystery, Thriller",en,2019-10-15,6.7,chopped;no;mermaid;thrown,Mermaid Down
"Adventure, Science Fiction, TV Movie",en,2014-08-12,4.8,skull;whose;reek;control,Crystal Skulls
"Comedy, Romance",es,2021-02-26,7.2,night;voluntarily;Adri;institution,Crazy About Her
"Crime, Action, Adventure",ko,2019-05-15,7.7,"surviving;partnership;Tae-seok;killer,","The Gangster, the Cop, the Devil"
"Fantasy, Comedy, Family",en,1994-05-26,5.3,good;screen;goes;employees,The Flintstones
"Action, Thriller",en,2016-03-02,6.1,Prime;discovers;attending;assassinate,London Has Fallen
"Adventure, Action, Drama, History",ja,2012-08-25,7.6,Offering;school;there.;Takei).,Rurouni Kenshin Part I: Origins
"Horror, Crime",en,2010-10-21,6.0,secrets;survivor;unleash;fellow,Saw 3D
"Action, Drama, Fantasy",en,2017-05-10,6.5,comes;acknowledge;upside;idea,King Arthur: Legend of the Sword
"Horror, Mystery",en,2020-10-08,5.7,exclamation;Scott;truth;school's,Initiation
"Family, Fantasy, Adventure, Comedy",en,2020-11-18,6.6,Jack.;Kate;mom’s;unexpectedly,The Christmas Chronicles: Part Two
"Comedy, Science Fiction",en,2019-06-12,6.0,"date:;scum;adventure,;threat",Men in Black: International
"Thriller, Drama, Crime, Horror",en,2000-04-13,7.4,"New;executive;escalates;illogical,",American Psycho
