Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1886,2.0,Domo de lava,,,Okataina(New Zealand)
1893,4.0,Estratovolcán,,,Calbuco(Chile)
1951,3.0,Estratovolcán,,,Camiguin(Philippines)
1953,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1957,,,,,Unzen(Japan)
1981,3.0,Estratovolcán,,,Semeru(Indonesia)
1993,,Estratovolcán,,,Wurlali(Indonesia)
1993,1.0,Estratovolcán,,,Pinatubo(Philippines)
1996,2.0,Estratovolcán,,,Kanlaon(Philippines)
2013,,Estratovolcán,,,Mayon(Philippines)
2017,,Estratovolcán,,,Etna(Italy)
2017,,,,,Dieng Volc Complex(Indonesia)
-1750,6.0,Estratovolcán,,,Veniaminof(United States)
847,6.0,Estratovolcán,,,Bona-Churchill(United States)
930,6.0,Estratovolcán,,,Ceboruco(Mexico)
1158,4.0,Estratovolcán,,,Hekla(Iceland)
1329,1.0,Estratovolcán,,,Etna(Italy)
1510,4.0,Estratovolcán,,,Hekla(Iceland)
1615,3.0,Caldera volcánica,,,Banda Api(Pacific Ocean)
1617,3.0,Estratovolcán,,,Fuego(Guatemala)
1646,4.0,Estratovolcán,,,Makian(Indonesia)
1677,2.0,Estratovolcán,,,La Palma(Spain)
1784,0.0,Volcán en escudo,,,Hualalai(United States)
1800,5.0,Estratovolcán,,,St. Helens(United States)
1820,2.0,Caldera volcánica,,,Banda Api(Pacific Ocean)
1827,2.0,Estratovolcán,True,True,Avachinsky(Russia)
1843,2.0,Estratovolcán,,,Etna(Italy)
1847,2.0,,,,Dieng Volc Complex(Indonesia)
1857,,,True,True,Umboi(Papua New Guinea)
1866,2.0,Volcán en escudo,True,,Ofu-Olosega(United States)
1870,2.0,Estratovolcán,,,Ruang(Indonesia)
1870,3.0,,,,Iliwerung(Indonesia)
1885,3.0,Estratovolcán,,True,Purace(Colombia)
1897,2.0,Estratovolcán,True,,Tinakula(Solomon Is.)
1902,4.0,Estratovolcán,True,,Soufriere St. Vincent(St. Vincent & the Grenadines)
1903,,Volcán en escudo,,,Karthala(Comoros)
1932,3.0,Estratovolcán,,,Kusatsu-Shirane(Japan)
1951,2.0,Volcán submarino,True,,Kavachi(Solomon Is.)
1971,,Estratovolcán,,,Kusatsu-Shirane(Japan)
1991,1.0,Estratovolcán,,,Lokon-Empung(Indonesia)
1995,3.0,,,,Pacaya(Guatemala)
1998,,Volcán en escudo,,,Kilauea(United States)
1999,2.0,Estratovolcán,,,Fuego(Guatemala)
2011,3.0,Estratovolcán,,,Gamalama(Indonesia)
2017,,Estratovolcán,,,Sinabung(Indonesia)
-3550,6.0,Estratovolcán,,,Pinatubo(Philippines)
1050,,Volcán en escudo,True,,Santorini(Greece)
1177,3.0,Volcán subglaciar,,,Katla(Iceland)
1595,4.0,Estratovolcán,,,Ruiz(Colombia)
1598,3.0,Caldera volcánica,,,Banda Api(Pacific Ocean)
1638,4.0,Estratovolcán,,,Raung(Indonesia)
1659,3.0,Estratovolcán,,True,San Salvador(El Salvador)
1684,2.0,Caldera volcánica,,,Grimsvotn(Iceland)
1693,4.0,Estratovolcán,True,,Hekla(Iceland)
1694,3.0,Caldera volcánica,,,Banda Api(Pacific Ocean)
1794,3.0,,,,Vesuvius(Italy)
1800,1.0,Fisura volcánica,,,San Jorge(Portugal)
1816,2.0,Caldera volcánica,,,Aso(Japan)
1817,2.0,Estratovolcán,,,Ijen(Indonesia)
1825,,Estratovolcán,,,Balbi(Papua New Guinea)
1846,1.0,Estratovolcán,,,E-san(Japan)
1875,,Estratovolcán,,,Mayon(Philippines)
1889,2.0,Volcán submarino,True,True,Banua Wuhu(Indonesia)
1912,6.0,Caldera volcánica,,,Novarupta(United States)
1953,,,,,Hakone(Japan)
1961,,Estratovolcán,,,Daisetsu(Japan)
1964,1.0,,,,Dieng Volc Complex(Indonesia)
1965,0.0,Volcán submarino,True,,Kick-'em-Jenny(Netherlands)
1971,2.0,Estratovolcán,True,,Tinakula(Solomon Is.)
1976,2.0,Estratovolcán,,,Semeru(Indonesia)
1976,2.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
1978,3.0,Estratovolcán,,,Santa Maria(Guatemala)
1983,2.0,Estratovolcán,,,Kliuchevskoi(Russia)
1986,3.0,Estratovolcán,,,Oshima(Japan)
1992,2.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
2002,3.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
2013,3.0,Estratovolcán,,,Paluweh(Indonesia)
2013,2.0,Estratovolcán,,,Sinabung(Indonesia)
2017,2.0,Estratovolcán,,,Sinabung(Indonesia)
2018,1.0,Caldera volcánica,True,,Krakatau(Indonesia)
2019,,Estratovolcán,,,Ulawun(Papua New Guinea)
-4360,6.0,Caldera volcánica,,,Macauley Island(New Zealand)
-4000,6.0,Caldera volcánica,,,Pago(Papua New Guinea)
-50,6.0,Escudo piroclástico,,,Apoyeque(Nicaragua)
46,3.0,Volcán en escudo,True,,Santorini(Greece)
500,,Campo volcánico,,,"Arhab, Harra of(Yemen)"
787,3.0,,,,Vesuvius(Italy)
1536,3.0,Estratovolcán,,,Etna(Italy)
1690,,,True,,Vesuvius(Italy)
1726,1.0,Estratovolcán,,,Bardarbunga(Iceland)
1730,3.0,Estratovolcán,,,Raung(Indonesia)
1742,3.0,Estratovolcán,,,Cotopaxi(Ecuador)
1749,3.0,Estratovolcán,True,True,Taal(Philippines)
1848,2.0,Estratovolcán,,,Kelut(Indonesia)
