Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1843,,Estratovolcán,True,,Soufriere Guadeloupe(Guadeloupe)
1854,5.0,Estratovolcán,,,Shiveluch(Russia)
1856,,Estratovolcán,True,,Shishaldin(United States)
1860,2.0,Estratovolcán,,,Fuego(Guatemala)
1868,,Estratovolcán,True,True,Etna(Italy)
1872,4.0,Estratovolcán,,,Merapi(Indonesia)
1875,0.0,Estratovolcán,,,Kelut(Indonesia)
1878,,Estratovolcán,True,True,Yasur(Vanuatu)
1909,2.0,Estratovolcán,,True,"Cameroon, Mt.(Cameroon)"
1914,3.0,Caldera volcánica,,,Pago(Papua New Guinea)
1917,1.0,Domo de lava,,,Okataina(New Zealand)
1930,2.0,Caldera volcánica,True,,Krakatau(Indonesia)
1930,3.0,Estratovolcán,True,,Stromboli(Italy)
1934,,Estratovolcán,,,Hood(United States)
1946,4.0,Estratovolcán,True,,Sarychev Peak(Russia)
1954,,Estratovolcán,True,,Stromboli(Italy)
1955,3.0,Estratovolcán,,,Sakura-jima(Japan)
1962,,Estratovolcán,,,Merapi(Indonesia)
1990,4.0,Estratovolcán,,,Kelut(Indonesia)
1993,1.0,,,,Unzen(Japan)
2010,3.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
2014,,Volcán en escudo,,,Kilauea(United States)
2016,,Estratovolcán,,,Sinabung(Indonesia)
2019,4.0,Estratovolcán,,,Manam(Papua New Guinea)
2019,,Estratovolcán,,,Sinabung(Indonesia)
1357,4.0,Volcán subglaciar,,,Katla(Iceland)
1586,5.0,Estratovolcán,,,Kelut(Indonesia)
1730,,Cono volcanico,,,Tseax River Cone(Canada)
1823,0.0,Volcán en escudo,,,Kilauea(United States)
1832,3.0,Estratovolcán,,,Merapi(Indonesia)
1838,2.0,Estratovolcán,,,Gamalama(Indonesia)
1858,2.0,Estratovolcán,,,Mayon(Philippines)
1872,3.0,Caldera volcánica,,,Aso(Japan)
1879,2.0,Estratovolcán,True,,Stromboli(Italy)
1893,2.0,Estratovolcán,,,Azuma(Japan)
1918,3.0,Volcán submarino,True,,Banua Wuhu(Indonesia)
1940,2.0,Estratovolcán,,,Miyake-jima(Japan)
1966,3.0,Estratovolcán,True,,Tinakula(Solomon Is.)
1970,3.0,Estratovolcán,,,Hekla(Iceland)
1974,4.0,Estratovolcán,,,Fuego(Guatemala)
1975,2.0,,,,Marapi(Indonesia)
1977,1.0,Caldera volcánica,,,Krafla(Iceland)
1984,,,,,On-take(Japan)
1989,,Caldera volcánica,,,Aso(Japan)
1991,,,,,Mutnovsky(Russia)
1991,5.0,Estratovolcán,,,"Hudson, Cerro(Chile)"
1992,,,,,Dieng Volc Complex(Indonesia)
1993,2.0,Estratovolcán,,,Mayon(Philippines)
1995,,,,,Kelimutu(Indonesia)
2015,,Domo de lava,,,Okataina(New Zealand)
2018,,Estratovolcán,True,,Kadovar(Papua New Guinea)
-1890,6.0,Estratovolcán,,,"Hudson, Cerro(Chile)"
-455,4.0,Estratovolcán,,,Cotopaxi(Ecuador)
240,6.0,Estratovolcán,,,Ksudach(Russia)
1362,5.0,Estratovolcán,,,Oraefajokull(Iceland)
1385,3.0,Estratovolcán,,,Kelut(Indonesia)
1630,4.0,Estratovolcán,,,Furnas(Portugal)
1669,3.0,Estratovolcán,,True,Etna(Italy)
1670,2.0,Volcán en escudo,,,Aoba(Vanuatu)
1690,3.0,,,,Guntur(Indonesia)
1766,3.0,Estratovolcán,,,Mayon(Philippines)
1780,3.0,Estratovolcán,,,Aoga-shima(Japan)
1784,4.0,Caldera volcánica,,,Grimsvotn(Iceland)
1890,2.0,Estratovolcán,,,Victory(Papua New Guinea)
1913,1.0,,,,Asama(Japan)
1926,3.0,Estratovolcán,,,Tokachi(Japan)
1932,4.0,Estratovolcán,,,Fuego(Guatemala)
1964,2.0,Estratovolcán,,,Villarrica(Chile)
1967,3.0,Caldera volcánica,True,,Deception Island(Antarctica)
1974,2.0,Estratovolcán,,,Merapi(Indonesia)
1977,1.0,Estratovolcán,,,"Nyiragongo(Congo, DRC)"
1988,3.0,Estratovolcán,,,Lonquimay(Chile)
1991,1.0,,,,Unzen(Japan)
1993,1.0,Estratovolcán,,,Guagua Pichincha(Ecuador)
2008,3.0,Estratovolcán,,,Tungurahua(Ecuador)
2011,3.0,Estratovolcán,,,Nabro(Eritrea)
2013,,Estratovolcán,,,Ubinas(Peru)
2014,,Estratovolcán,,,Sinabung(Indonesia)
2015,,Estratovolcán,,,Sinabung(Indonesia)
-197,3.0,Volcán en escudo,True,True,Santorini(Greece)
60,6.0,Estratovolcán,,,Bona-Churchill(United States)
1631,5.0,,True,True,Vesuvius(Italy)
1682,3.0,,,,Vesuvius(Italy)
1757,0.0,Fisura volcánica,,True,San Jorge(Portugal)
1812,4.0,Estratovolcán,,,Soufriere St. Vincent(St. Vincent & the Grenadines)
1827,2.0,Estratovolcán,,,Avachinsky(Russia)
1846,2.0,Estratovolcán,,,Tangkubanparahu(Indonesia)
1856,4.0,Estratovolcán,,,Komaga-take(Japan)
1883,4.0,Domo de lava,True,,Augustine(United States)
1914,4.0,Estratovolcán,True,True,Sakura-jima(Japan)
1919,3.0,Estratovolcán,True,,Stromboli(Italy)
1927,1.0,Estratovolcán,,,Esjufjoll(Iceland)
1944,2.0,,,,Vesuvius(Italy)
1949,3.0,Estratovolcán,,,Camiguin(Philippines)
1953,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1968,3.0,Estratovolcán,,,Arenal(Costa Rica)
1972,,,,,Hakone(Japan)
1981,2.0,Estratovolcán,,,Alaid(Russia)
1990,,Estratovolcán,,,Kelut(Indonesia)
1997,3.0,Estratovolcán,,,Soufriere Hills(Montserrat)
2002,3.0,Estratovolcán,,,Semeru(Indonesia)
2006,3.0,Estratovolcán,,,Tungurahua(Ecuador)
1334,3.0,Estratovolcán,,,Kelut(Indonesia)
1564,3.0,Estratovolcán,,,Gamkonora(Indonesia)
1711,3.0,Estratovolcán,,,Awu(Indonesia)
1873,,,,,Vesuvius(Italy)
1877,4.0,Estratovolcán,,,Cotopaxi(Ecuador)
1892,3.0,Estratovolcán,True,,Awu(Indonesia)
1895,2.0,Estratovolcán,,,Semeru(Indonesia)
1895,2.0,Estratovolcán,,,Karkar(Papua New Guinea)
1902,,Estratovolcán,True,,Pelee(Martinique)
1904,2.0,Volcán en escudo,,,Karthala(Comoros)
1906,3.0,,True,,Vesuvius(Italy)
1928,1.0,Estratovolcán,,,Etna(Italy)
1929,3.0,Estratovolcán,,,Calbuco(Chile)
1930,3.0,Estratovolcán,,,Merapi(Indonesia)
1933,3.0,Estratovolcán,True,,Kharimkotan(Russia)
1933,4.0,Estratovolcán,,,Kuchinoerabu-jima(Japan)
1950,1.0,Estratovolcán,,,Semeru(Indonesia)
1972,2.0,Volcán en escudo,,,"Fournaise, Piton de la(Reunion)"
1978,3.0,Estratovolcán,,,Usu(Japan)
1979,,,True,,Iliwerung(Indonesia)
1996,,Estratovolcán,,,Maderas(Nicaragua)
2002,4.0,Estratovolcán,,,Reventador(Ecuador)
2011,4.0,Estratovolcán,,,Tungurahua(Ecuador)
2016,,Caldera volcánica,,,Aso(Japan)
-1010,5.0,Estratovolcán,,,Tungurahua(Ecuador)
350,,Domo de lava,,,Augustine(United States)
1311,4.0,Volcán subglaciar,,,Katla(Iceland)
1587,4.0,Estratovolcán,,,Merapi(Indonesia)
1716,2.0,Estratovolcán,,,Kelut(Indonesia)
1729,1.0,Estratovolcán,,,Bardarbunga(Iceland)
1742,3.0,Estratovolcán,,,Cotopaxi(Ecuador)
1772,3.0,Estratovolcán,True,,Gamalama(Indonesia)
1775,3.0,Estratovolcán,,,Lokon-Empung(Indonesia)
1840,3.0,Estratovolcán,,,Ararat(Turkey)
1871,3.0,Estratovolcán,,,Mayon(Philippines)
1874,2.0,Estratovolcán,,,Taal(Philippines)
1883,6.0,Caldera volcánica,True,,Krakatau(Indonesia)
1885,2.0,Estratovolcán,,,Semeru(Indonesia)
1919,0.0,Volcán en escudo,True,,Mauna Loa(United States)
1939,1.0,,,,Dieng Volc Complex(Indonesia)
1952,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1952,1.0,Volcán complejo,,,Ambalatungan Group(Philippines)
1961,3.0,Estratovolcán,,,Calbuco(Chile)
1978,3.0,Estratovolcán,,,Semeru(Indonesia)
1984,,Maar,,,Oku Volc Field(Cameroon)
1986,2.0,Estratovolcán,,,Stromboli(Italy)
1987,,,,True,Sirung(Indonesia)
1993,,Volcán en escudo,,,Kilauea(United States)
1996,3.0,Estratovolcán,,,Popocatepetl(Mexico)
2006,3.0,Estratovolcán,,,Tungurahua(Ecuador)
2010,,Estratovolcán,,,Sinabung(Indonesia)
2016,,Caldera volcánica,,,Yellowstone(United States)
-4350,7.0,Caldera volcánica,,,Kikai(Japan)
934,4.0,Volcán subglaciar,,,Katla(Iceland)
1250,,Estratovolcán,,,Fentale(Ethiopia)
1389,3.0,Estratovolcán,,,Hekla(Iceland)
1471,5.0,Estratovolcán,,,Sakura-jima(Japan)
1500,4.0,Volcán subglaciar,,,Katla(Iceland)
1590,3.0,Estratovolcán,,,Colima(Mexico)
1596,2.0,,,,Asama(Japan)
1606,2.0,Estratovolcán,True,,Hachijo-jima(Japan)
1712,2.0,Estratovolcán,,,Bardarbunga(Iceland)
1716,2.0,Estratovolcán,,,Bardarbunga(Iceland)
1737,2.0,,,,Vesuvius(Italy)
1779,4.0,Estratovolcán,,,Sakura-jima(Japan)
1783,4.0,,,,Asama(Japan)
1822,3.0,Estratovolcán,,,Merapi(Indonesia)
1840,3.0,Estratovolcán,,,Tinakula(Solomon Is.)
1845,2.0,Estratovolcán,True,True,Soputan(Indonesia)
1847,2.0,Estratovolcán,,,Fogo(Cape Verde)
1856,3.0,Estratovolcán,True,True,Awu(Indonesia)
1861,4.0,Estratovolcán,,,Makian(Indonesia)
1903,1.0,Domo de lava,,,Okataina(New Zealand)
1951,,,,,Hakone(Japan)
1954,2.0,Estratovolcán,,,Bam(Papua New Guinea)
1958,,Estratovolcán,,,Daisetsu(Japan)
1962,2.0,Estratovolcán,,,Gamalama(Indonesia)
1969,2.0,Estratovolcán,,,Merapi(Indonesia)
1973,3.0,Estratovolcán,,,Paluweh(Indonesia)
1974,3.0,Estratovolcán,,,Sakura-jima(Japan)
1978,,Estratovolcán,,,Tangkubanparahu(Indonesia)
1983,4.0,Estratovolcán,,,Colo [Una Una](Indonesia)
1987,2.0,Estratovolcán,,,Etna(Italy)
1994,3.0,Estratovolcán,,,Rinjani(Indonesia)
1996,3.0,Caldera volcánica,,,Grimsvotn(Iceland)
1997,3.0,Estratovolcán,,,Soufriere Hills(Montserrat)
1999,3.0,Estratovolcán,,,Guagua Pichincha(Ecuador)
2001,2.0,Estratovolcán,,,Merapi(Indonesia)
2002,1.0,Estratovolcán,,,"Nyiragongo(Congo, DRC)"
2011,,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
2012,,Volcán en escudo,,,Kilauea(United States)
2012,,Volcán en escudo,,,Kilauea(United States)
416,,Caldera volcánica,True,,Krakatau(Indonesia)
1311,3.0,Estratovolcán,,,Kelut(Indonesia)
1410,3.0,Estratovolcán,,,Nasu(Japan)
1672,2.0,Estratovolcán,,,Fayal(Portugal)
1780,,Estratovolcán,True,,Sakura-jima(Japan)
1800,2.0,Estratovolcán,,,Kieyo(Tanzania)
1803,2.0,,,,Asama(Japan)
1894,3.0,Escudo piroclástico,,,Ambrym(Vanuatu)
1910,2.0,Estratovolcán,,,Usu(Japan)
1911,2.0,,,,Asama(Japan)
1917,3.0,Estratovolcán,,True,San Salvador(El Salvador)
1923,,Estratovolcán,,,Tangkubanparahu(Indonesia)
1923,2.0,Volcán en escudo,,,Kirishima(Japan)
1929,4.0,Estratovolcán,,,Komaga-take(Japan)
1929,3.0,Estratovolcán,,,Santa Maria(Guatemala)
1939,1.0,Volcán submarino,True,,Kick-'em-Jenny(Netherlands)
1951,3.0,Estratovolcán,,,Kelut(Indonesia)
1966,4.0,Estratovolcán,,,Awu(Indonesia)
1971,2.0,Estratovolcán,,,Villarrica(Chile)
1974,2.0,Domo de lava,,,Niigata-Yake-yama(Japan)
1977,0.0,Volcán en escudo,,,Karthala(Comoros)
1978,2.0,Estratovolcán,,,Bulusan(Philippines)
1982,5.0,Cono de cenizas,,,"Chichon, El(Mexico)"
1986,,,,,Akita-Yake-yama(Japan)
2001,2.0,Estratovolcán,,,Etna(Italy)
2018,1.0,Volcán en escudo,,,Kilauea(United States)
-1610,7.0,Volcán en escudo,True,True,Santorini(Greece)
-150,,,,,St. Andrew Strait(Papua New Guinea)
-100,6.0,Volcán en escudo,,,Okmok(United States)
1341,3.0,Estratovolcán,,,Hekla(Iceland)
1430,,Caldera volcánica,,,Kuwae(Vanuatu)
1510,4.0,Estratovolcán,,,Hekla(Iceland)
1580,6.0,Escudo piroclástico,,,Billy Mitchell(Papua New Guinea)
1698,3.0,Estratovolcán,,,Cereme(Indonesia)
1716,4.0,Estratovolcán,True,True,Taal(Philippines)
1717,3.0,Estratovolcán,,,Fuego(Guatemala)
1721,5.0,Volcán subglaciar,,,Katla(Iceland)
1819,,Estratovolcán,True,,Asuncion(United States)
1845,3.0,Estratovolcán,,,Ruiz(Colombia)
1895,2.0,Volcán en escudo,,,Kirishima(Japan)
1901,,Estratovolcán,True,True,Epi(Vanuatu)
1907,0.0,Volcán submarino,True,True,Unnamed(Tonga)
1928,,Caldera volcánica,True,,Krakatau(Indonesia)
1940,2.0,Estratovolcán,,,"Lengai, Ol Doinyo(Tanzania)"
1946,2.0,Estratovolcán,,,Semeru(Indonesia)
1953,3.0,Estratovolcán,,,Merapi(Indonesia)
1954,,Estratovolcán,,,Tate-yama(Japan)
1961,2.0,,,,Asama(Japan)
1962,3.0,Estratovolcán,,,Tokachi(Japan)
1963,3.0,Estratovolcán,,True,Agung(Indonesia)
1969,2.0,Volcán complejo,True,,Didicas(Philippines)
1997,1.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
2000,3.0,Estratovolcán,,,Semeru(Indonesia)
2009,,Volcán en escudo,,,Kilauea(United States)
2011,,Estratovolcán,,,Merapi(Indonesia)
450,6.0,Caldera volcánica,,,Ilopango(El Salvador)
1565,3.0,,,True,Pacaya(Guatemala)
1716,3.0,Volcán en escudo,,,Kirishima(Japan)
1721,1.0,,,,Asama(Japan)
1762,2.0,Estratovolcán,,,Kliuchevskoi(Russia)
1784,,Estratovolcán,,,Sabancaya(Peru)
1786,2.0,,,,Dieng Volc Complex(Indonesia)
1800,,,,,Guntur(Indonesia)
1800,0.0,Volcán en escudo,,,Hualalai(United States)
1839,2.0,Volcán submarino,True,,Unnamed(Chile)
1861,2.0,Caldera volcánica,,,Grimsvotn(Iceland)
1878,3.0,Escudo piroclástico,True,True,Rabaul(Papua New Guinea)
1901,3.0,Estratovolcán,,,Kelut(Indonesia)
1911,3.0,Estratovolcán,True,True,Taal(Philippines)
1917,3.0,Estratovolcán,,,"Lengai, Ol Doinyo(Tanzania)"
1921,,Estratovolcán,,,Nasu(Japan)
1933,,,,,Hakone(Japan)
1941,2.0,Estratovolcán,,,Semeru(Indonesia)
1944,2.0,Estratovolcán,,,Usu(Japan)
1947,4.0,Estratovolcán,,,Hekla(Iceland)
1976,,Estratovolcán,,,Kusatsu-Shirane(Japan)
1979,2.0,Estratovolcán,,,Etna(Italy)
1982,4.0,Estratovolcán,,,Galunggung(Indonesia)
1988,3.0,Estratovolcán,,,Arenal(Costa Rica)
2005,,Volcán en escudo,,,Karthala(Comoros)
2010,,Estratovolcán,,,Tengger Caldera(Indonesia)
-1050,6.0,Estratovolcán,,,Pinatubo(Philippines)
764,4.0,Estratovolcán,,,Sakura-jima(Japan)
766,3.0,Estratovolcán,True,True,Sakura-jima(Japan)
1760,4.0,Estratovolcán,,,Makian(Indonesia)
1766,4.0,Estratovolcán,,,Hekla(Iceland)
1790,4.0,Volcán en escudo,,,Kilauea(United States)
1803,2.0,,,,Asama(Japan)
1813,2.0,,True,,Vesuvius(Italy)
1825,3.0,Estratovolcán,,,Shishaldin(United States)
1869,2.0,Estratovolcán,,,Lamongan(Indonesia)
1883,,Caldera volcánica,True,,Krakatau(Indonesia)
1900,2.0,,,,Asama(Japan)
1914,,Estratovolcán,,,White Island(New Zealand)
1928,3.0,Estratovolcán,True,,Paluweh(Indonesia)
1952,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1953,0.0,,,,Sirung(Indonesia)
1963,2.0,Estratovolcán,,,Villarrica(Chile)
1976,2.0,Estratovolcán,,,Merapi(Indonesia)
1977,3.0,Estratovolcán,,,Usu(Japan)
1980,5.0,Estratovolcán,True,True,St. Helens(United States)
1981,,Estratovolcán,,,Vilyuchik(Russia)
1985,3.0,Estratovolcán,,,Ruiz(Colombia)
1990,3.0,Estratovolcán,,,Shiveluch(Russia)
1990,3.0,Estratovolcán,,,Santa Maria(Guatemala)
1995,3.0,Estratovolcán,,,Yasur(Vanuatu)
2006,1.0,Estratovolcán,,,Merapi(Indonesia)
2010,2.0,Estratovolcán,,,Eyjafjallajokull(Iceland)
2010,3.0,Estratovolcán,,,Tungurahua(Ecuador)
2011,,Volcán subglaciar,,,Katla(Iceland)
2015,,Estratovolcán,,,Sinabung(Indonesia)
2018,2.0,Escudo piroclástico,,True,Ambrym(Vanuatu)
2019,4.0,Estratovolcán,,,Manam(Papua New Guinea)
-1370,6.0,Caldera volcánica,,,Pago(Papua New Guinea)
710,6.0,Caldera volcánica,,,Pago(Papua New Guinea)
1853,3.0,Estratovolcán,,,Mayon(Philippines)
1872,4.0,Estratovolcán,,,Merapi(Indonesia)
1878,3.0,Estratovolcán,True,,Yasur(Vanuatu)
1905,2.0,Volcán en escudo,True,,Savai'i(Samoa)
1918,4.0,Volcán subglaciar,,,Katla(Iceland)
1944,2.0,Estratovolcán,True,,Stromboli(Italy)
1952,2.0,Volcán submarino,True,,Myojun Knoll(Japan)
1955,4.0,Cono volcanico,,,Carran-Los Venados(Chile)
1961,3.0,Estratovolcán,,,Merapi(Indonesia)
1975,3.0,Estratovolcán,,,Arenal(Costa Rica)
1980,3.0,Estratovolcán,,,Hekla(Iceland)
1981,2.0,Estratovolcán,,,Paluweh(Indonesia)
1988,,,,,Akita-Yake-yama(Japan)
1991,2.0,Volcán en escudo,,,Karthala(Comoros)
1994,3.0,Estratovolcán,,,Merapi(Indonesia)
1995,1.0,Estratovolcán,,,Yake-dake(Japan)
2002,,Estratovolcán,True,,Stromboli(Italy)
2003,3.0,Estratovolcán,True,,Soufriere Hills(Montserrat)
2010,3.0,Estratovolcán,,,Tungurahua(Ecuador)
2018,2.0,Estratovolcán,,,Fuego(Guatemala)
-1550,,Estratovolcán,,,Redoubt(United States)
-250,6.0,Estratovolcán,,,Raoul Island(New Zealand)
1640,5.0,Estratovolcán,True,True,Komaga-take(Japan)
1785,3.0,Estratovolcán,,,Aoga-shima(Japan)
1812,3.0,Estratovolcán,,,Awu(Indonesia)
1853,0.0,Volcán en escudo,,,Niuafo'ou(Tonga)
1892,2.0,Estratovolcán,,,Sorikmarapi(Indonesia)
1917,3.0,Estratovolcán,,,Calbuco(Chile)
1938,1.0,,,,Asama(Japan)
1941,2.0,,,,Asama(Japan)
1943,4.0,Cono de escoria,,,Michoacan-Guanajuato(Mexico)
1944,2.0,,,,Dieng Volc Complex(Indonesia)
1953,1.0,Estratovolcán,,,Oshima(Japan)
1973,,Estratovolcán,,,"Hudson, Cerro(Chile)"
1990,2.0,Caldera volcánica,,,Aso(Japan)
1991,6.0,Estratovolcán,,True,Pinatubo(Philippines)
1992,1.0,Estratovolcán,,,Pinatubo(Philippines)
1995,2.0,Estratovolcán,,,Fogo(Cape Verde)
1996,3.0,Estratovolcán,,,Manam(Papua New Guinea)
2000,,Volcán en escudo,,,Kilauea(United States)
2005,3.0,Estratovolcán,,,Santa Ana(El Salvador)
2006,2.0,Estratovolcán,True,,Soufriere Hills(Montserrat)
2015,,Estratovolcán,,,Calbuco(Chile)
2017,,Caldera volcánica,,,Campi Flegrei(Italy)
2018,,Estratovolcán,,,Kadovar(Papua New Guinea)
2018,,Estratovolcán,,,Ijen(Indonesia)
